"uid","uname","bid","course","lid","chapter","total_attempt","total_error","accuracy"
"17746","Bobek139","5193","100 Endgames You Must Know","7","10.  Opp. Coloured: B+2 Pawns vs. B","4262","79","98.15"
"17746","Bobek139","5193","100 Endgames You Must Know","8","3. Basic Test","1531","83","94.58"
"17746","Bobek139","5193","100 Endgames You Must Know","9","11. Rook + Pawn vs. Rook","4273","82","98.08"
"17746","Bobek139","5193","100 Endgames You Must Know","10","12. Rook + two Pawns vs. Rook","1965","45","97.71"
"17746","Bobek139","5193","100 Endgames You Must Know","11","13. Pawn endings","68","0","100"
"17746","Bobek139","5193","100 Endgames You Must Know","15","1. Introduction","218","2","99.08"
"17746","Bobek139","16896","Mastering Pawn Endgames: Volume 1","11","1. Square Of The Pawn","27","0","100"
"17746","Bobek139","16896","Mastering Pawn Endgames: Volume 1","12","2. Opposition & Key Squares","1220","4","99.67"
"17746","Bobek139","16896","Mastering Pawn Endgames: Volume 1","13","3. Sacrificing A Pawn","2636","58","97.8"
"17746","Bobek139","16896","Mastering Pawn Endgames: Volume 1","14","4. Triangulation","255","5","98.04"
"17746","Bobek139","16896","Mastering Pawn Endgames: Volume 1","15","5. Réti's Idea","289","2","99.31"
"17746","Bobek139","16896","Mastering Pawn Endgames: Volume 1","16","6. Restricting The King","2257","57","97.47"
"17746","Bobek139","16896","Mastering Pawn Endgames: Volume 1","17","7. Building A Fortress","88","2","97.73"
"17746","Bobek139","16896","Mastering Pawn Endgames: Volume 1","18","8. Breaking Through","2143","44","97.95"
"17746","Bobek139","16896","Mastering Pawn Endgames: Volume 1","19","9. Drawing Cases","2810","79","97.19"
"17746","Bobek139","16896","Mastering Pawn Endgames: Volume 1","20","10. Creating A Stalemate","694","23","96.69"
"17746","Bobek139","16896","Mastering Pawn Endgames: Volume 1","21","11. Zugzwang","1825","28","98.47"
"17746","Bobek139","16896","Mastering Pawn Endgames: Volume 1","22","12. Pawn Race","2145","52","97.58"
"17746","Bobek139","16989","Pawns on the Attack","1","2. Pawns that Mate-in-2","107","7","93.46"
"17746","Bobek139","16989","Pawns on the Attack","2","3. Pawns that Mate-in-3 or more","730","53","92.74"
"17746","Bobek139","16989","Pawns on the Attack","4","5. Pawns Tactics","3","0","100"
"17746","Bobek139","16989","Pawns on the Attack","9","4. Pawns that set up mate","125","8","93.6"
"17746","Bobek139","18744","Crush the London!","0","1. 1.d4 d5 2.Nf3 Nf6 3.Bf4","4450","105","97.64"
"17746","Bobek139","18744","Crush the London!","1","2. 1.d4 d5 2.Bf4","1533","61","96.02"
"17746","Bobek139","20722","Mastering Pawn Endgames: Volume 2","1","1. Indirect Opposition","453","6","98.68"
"17746","Bobek139","20722","Mastering Pawn Endgames: Volume 2","2","3. Breaking Through Part 2","495","9","98.18"
"17746","Bobek139","20722","Mastering Pawn Endgames: Volume 2","3","4. Pawn Race Part 2","1593","25","98.43"
"17746","Bobek139","20722","Mastering Pawn Endgames: Volume 2","4","5. Creating a Stalemate Part 2","690","24","96.52"
"17746","Bobek139","20722","Mastering Pawn Endgames: Volume 2","5","6. Restricting The King Part 2","419","16","96.18"
"17746","Bobek139","20722","Mastering Pawn Endgames: Volume 2","6","7. Drawing Cases Part 2","185","7","96.22"
"17746","Bobek139","20722","Mastering Pawn Endgames: Volume 2","10","2. Corresponding Squares","130","8","93.85"
"17746","Bobek139","21812","The Killer Dutch Rebooted","3","1. An Introduction: Do's and Don'ts","109","4","96.33"
"17746","Bobek139","21812","The Killer Dutch Rebooted","26","16. 2 Bg5!? and 2 Nc3!? - Theory","150","5","96.67"
"17746","Bobek139","23159","Go for The Throat: Play 1.d4","13","15. Tarrasch Defence","289","3","98.96"
"17746","Bobek139","23159","Go for The Throat: Play 1.d4","23","2. Quickstarter Guide","4217","148","96.49"
"17746","Bobek139","25399","Short & Sweet: The Alekhine Defense","0","1. Main Level","214","5","97.66"
"17746","Bobek139","26568","Kingscrusher's Tactic Snacks 3","0","1. 501-550","531","51","90.4"
"17746","Bobek139","26568","Kingscrusher's Tactic Snacks 3","1","2. 551-600","910","87","90.44"
"17746","Bobek139","26568","Kingscrusher's Tactic Snacks 3","2","3. 601-650","558","43","92.29"
"17746","Bobek139","26568","Kingscrusher's Tactic Snacks 3","3","4. 651-700","728","101","86.13"
"17746","Bobek139","26568","Kingscrusher's Tactic Snacks 3","4","5. 701-750","748","93","87.57"
"17746","Bobek139","26772","Short & Sweet: The Dutch","0","1. Main Level","48","0","100"
"17746","Bobek139","28285","Openings Oddities","0","1. Sokolsky/Polish Opening 1.b4","63","1","98.41"
"17746","Bobek139","35474","The Aggressive Queens Gambit Declined","1","2. Queen's Gambit Janowski","225","3","98.67"
"17746","Bobek139","35474","The Aggressive Queens Gambit Declined","15","9. Veresov","59","3","94.92"
"17746","Bobek139","35474","The Aggressive Queens Gambit Declined","23","1. Quickstarter Guide","4361","161","96.31"
"17746","Bobek139","37366","Lifetime Repertoires: Caro-Kann","6","Chapter 10: 3.exd5","402","0","100"
"17746","Bobek139","37366","Lifetime Repertoires: Caro-Kann","11","Chapter 9: The Fantasy Variation 3.f3","551","2","99.64"
"17746","Bobek139","37366","Lifetime Repertoires: Caro-Kann","12","Chapter 1: Advance Variation 3...Bf5 4.Nf3","1414","35","97.52"
"17746","Bobek139","37366","Lifetime Repertoires: Caro-Kann","20","Chapter 4: Classical 4...Nf6","728","12","98.35"
"17746","Bobek139","37366","Lifetime Repertoires: Caro-Kann","21","Quickstarter Guide","5066","114","97.75"
"17746","Bobek139","49442","The Fierce Nimzo-Indian","14","Quickstarter Guide","865","31","96.42"
"17746","Bobek139","50173","Short and Sweet - Budapest Gambit","0","1. Main Level","3499","128","96.34"
"17746","Bobek139","50500","The Iron English: Botvinnik Variation","44","Quickstarter Guide","6484","92","98.58"
"17746","Bobek139","51081","Short & Sweet: Queen's Gambit Accepted","0","S&S: Queen's Gambit Accepted","860","23","97.33"
"17746","Bobek139","51996","Short & Sweet: Botvinnik English","0","Main Level","981","17","98.27"
"17746","Bobek139","52017","Lifetime Repertoires: Sethuraman's 1. e4 e5","31","Quickstarter Guide","190","14","92.63"
"17746","Bobek139","52604","Winning Chess Tactics: Free Lesson","0","1. Winning Chess Tactics: Free Lesson","10","0","100"
"17746","Bobek139","53131","Short & Sweet: Sethuraman's 1.e4 e5","0","S&S: Sethuraman's 1.e4 e5","505","17","96.63"
"17746","Bobek139","59936","Grandmaster Gambits: 1. e4","1","Quickstarter Guide","3090","82","97.35"
"17746","Bobek139","62034","Short & Sweet: 1. c4 / 1. Nf3 ","0","S&S: 1. c4/1. Nf3","193","3","98.45"
"17746","Bobek139","62086","Winning Chess Openings: Free Lesson","8","Free Lesson","40","0","100"
"17746","Bobek139","67152","Winning Chess Endings: Free Lesson","0","Winning Chess Endings: Free Lesson","187","7","96.26"
"17794","scchess","3317","Chessable Tutorial Openings","0","1. Main Level","50","2","96"
"17794","scchess","55884","Champions Chess Tour 2021","13","Skilling Open 2020","143","30","79.02"
"18723","Pyrrho","25695","Visualise 1","1","2. Visualise 1 Move Ahead","28","1","96.43"
"18723","Pyrrho","25695","Visualise 1","2","3. Visualise 2 Moves Ahead","71","1","98.59"
"18723","Pyrrho","25695","Visualise 1","3","4. Visualise 3 Moves Ahead","56","1","98.21"
"18723","Pyrrho","25866","Unleash the Bull: 1...e5 - a full repertoire for Black","19","1. Quickstarter Guide","163","2","98.77"
"18723","Pyrrho","42898","Timeless Technique: Strategic Endgames","2","3. Weaknesses","98","4","95.92"
"18723","Pyrrho","42898","Timeless Technique: Strategic Endgames","3","4. Activity","264","20","92.42"
"18726","Mhiban","50034","Winning Chess Strategies: Free Lesson","2","1. Winning Chess Strategies: Free Lesson","45","20","55.56"
"18869","Houdima","55720","Chessable Challenge","1"," Advanced Checkmates","8","0","100"
"18869","Houdima","55720","Chessable Challenge","2","Opening Disasters and Traps","22","2","90.91"
"18869","Houdima","55720","Chessable Challenge","3","Advanced Tactics","7","0","100"
"19007","Albertomuniz","34082","Short & Sweet: Queen's Gambit Declined","0","1. S&S: Queen's Gambit Declined","30","0","100"
"19013","Mopsliese","10582","The Woodpecker Method","4","4. Easy Exercises","4005","365","90.89"
"19013","Mopsliese","10582","The Woodpecker Method","5","5. Intermediate Exercises","7435","1116","84.99"
"19013","Mopsliese","10582","The Woodpecker Method","8","6. Intermediate Exercises II","6312","1058","83.24"
"19013","Mopsliese","10582","The Woodpecker Method","9","7. Intermediate Exercises III","510","142","72.16"
"19013","Mopsliese","16534","Trompowsky Tactics","2","2. Trompowsky tactics (white)","11","5","54.55"
"19013","Mopsliese","27821","Chess Tactics from Scratch - Understanding Chess Tactics","20","2. Becoming Familiar with the Pieces!","43","2","95.35"
"19013","Mopsliese","27821","Chess Tactics from Scratch - Understanding Chess Tactics","21","3. The Pin","823","71","91.37"
"19013","Mopsliese","27821","Chess Tactics from Scratch - Understanding Chess Tactics","22","4. The Discovered Attack","415","72","82.65"
"19013","Mopsliese","27821","Chess Tactics from Scratch - Understanding Chess Tactics","23","5. The Reloader","13","3","76.92"
"19013","Mopsliese","30038","Winning Chess Strategies","3","3. Making the Most of a Material Advantage","798","26","96.74"
"19013","Mopsliese","30038","Winning Chess Strategies","4","4. Stopping Enemy Counterplay","748","34","95.45"
"19013","Mopsliese","36968","Winning Chess Tactics","3","2: The Double Attack","1364","28","97.95"
"19013","Mopsliese","36968","Winning Chess Tactics","4","3: The Pin","716","18","97.49"
"19013","Mopsliese","36968","Winning Chess Tactics","5","14: Adolf Anderssen (1818-1879)","252","8","96.83"
"19013","Mopsliese","36968","Winning Chess Tactics","6","15: Paul Morphy (1837-1884)","160","6","96.25"
"19013","Mopsliese","36968","Winning Chess Tactics","7","16: Rudolph Spielmann (1883-1942)","214","26","87.85"
"19013","Mopsliese","36968","Winning Chess Tactics","8","17: Frank Marshall (1877-1944)","110","2","98.18"
"19013","Mopsliese","36968","Winning Chess Tactics","9","18: Alexander Alekhine (1892-1946)","504","28","94.44"
"19013","Mopsliese","36968","Winning Chess Tactics","10","19: Mikhail Tal (1936-1992)","402","28","93.03"
"19013","Mopsliese","36968","Winning Chess Tactics","11","20: Garry Kasparov (1963-)","544","42","92.28"
"19013","Mopsliese","36968","Winning Chess Tactics","12","12: Zwischenzug","36","0","100"
"19013","Mopsliese","36968","Winning Chess Tactics","13","4: The Skewer","102","4","96.08"
"19013","Mopsliese","36968","Winning Chess Tactics","14","6: Deflection","510","26","94.9"
"19013","Mopsliese","36968","Winning Chess Tactics","15","9: The Decoy","312","8","97.44"
"19013","Mopsliese","36968","Winning Chess Tactics","16","10: Clearance Sacrifice","234","2","99.15"
"19013","Mopsliese","36968","Winning Chess Tactics","17","11: X-Rays and Windmills","866","24","97.23"
"19013","Mopsliese","36968","Winning Chess Tactics","18","21: Basic Tactics","572","20","96.5"
"19013","Mopsliese","36968","Winning Chess Tactics","21","22: Advanced Combinations","1050","54","94.86"
"19013","Mopsliese","36968","Winning Chess Tactics","22","23: Professional Combinations","1816","134","92.62"
"19013","Mopsliese","36968","Winning Chess Tactics","23","8: The Power of Pawns","588","22","96.26"
"19013","Mopsliese","36968","Winning Chess Tactics","24","7: Battery on an Open File or Diagonal","706","20","97.17"
"19013","Mopsliese","36968","Winning Chess Tactics","25","13: Other Kinds of Draws","1040","58","94.42"
"19013","Mopsliese","36968","Winning Chess Tactics","26","5: King Tactics and Combinations","1980","52","97.37"
"19013","Mopsliese","39556","Chess Principles Reloaded - Center","13","2. Seize the Center","544","39","92.83"
"19013","Mopsliese","39556","Chess Principles Reloaded - Center","14","3. A Dominating Pawn Center","635","44","93.07"
"19013","Mopsliese","39556","Chess Principles Reloaded - Center","15","4. Fighting Back - Reclaiming Lost Territory","659","55","91.65"
"19013","Mopsliese","39556","Chess Principles Reloaded - Center","16","6. The Central Aspect of Weak Squares","439","21","95.22"
"19013","Mopsliese","39556","Chess Principles Reloaded - Center","17","5. The Central Strategies of Closed Pawn Structures","345","27","92.17"
"19013","Mopsliese","42325","Double-sided Mates in 1","12","2. Pawn Mates in 1","28","0","100"
"19013","Mopsliese","48780","Welcome - Lesson 3: Tactics","0","1. Main Level","16","0","100"
"19013","Mopsliese","50500","The Iron English: Botvinnik Variation","29","Theory 4A: 1... e5 (Move 2 Alternatives)","636","10","98.43"
"19013","Mopsliese","50500","The Iron English: Botvinnik Variation","44","Quickstarter Guide","21286","748","96.49"
"19013","Mopsliese","50567","Chess Principles Reloaded - Development","1","4. When One Piece Ruins It All","1128","109","90.34"
"19013","Mopsliese","50567","Chess Principles Reloaded - Development","2","5. Development in the Endgame","140","13","90.71"
"19013","Mopsliese","50567","Chess Principles Reloaded - Development","4","3. Contemporary Gambit Play","1092","94","91.39"
"19013","Mopsliese","50567","Chess Principles Reloaded - Development","5","2. Morphy and His Great Successors","1106","89","91.95"
"19013","Mopsliese","51959","Chess Strategy for Kids","1","The Centre, Development and Space","433","4","99.08"
"19013","Mopsliese","51959","Chess Strategy for Kids","6","Introduction","35","2","94.29"
"19013","Mopsliese","52604","Winning Chess Tactics: Free Lesson","0","1. Winning Chess Tactics: Free Lesson","37","7","81.08"
"19013","Mopsliese","53370","Dvoretsky's Endgame Manual 5th edition, revised by GM Karsten Müller","2","Chapter 1 – Pawn Endgames I","650","4","99.38"
"19013","Mopsliese","53903","Chess Tactics Workbook for Kids","1","Chapter 1: Fork","98","16","83.67"
"19013","Mopsliese","62565","Agadmator's Anti-London System","0","The Combative 4... Qxb2","1094","31","97.17"
"19013","Mopsliese","68285","Simon's Tactics","0","Simon's Tactics: Day 1","43","2","95.35"
"19013","Mopsliese","68285","Simon's Tactics","1","Simon's Tactics: Day 2","66","7","89.39"
"19018","miflo","3140","The French Tarrasch: Masterclass Edition","0","1. Introduction","9","0","100"
"19018","miflo","4281","A Master's Guide to the Grunfeld vs 1.d4 & 1.Nf3","3","3. Bg5 Variations","1020","0","100"
"19018","miflo","4281","A Master's Guide to the Grunfeld vs 1.d4 & 1.Nf3","4","4. Bf4 Variations","354","0","100"
"19018","miflo","4281","A Master's Guide to the Grunfeld vs 1.d4 & 1.Nf3","5","5. 4.e3 & Sidelines","345","0","100"
"19018","miflo","4281","A Master's Guide to the Grunfeld vs 1.d4 & 1.Nf3","6","6. Russian System - Qb3","1212","0","100"
"19018","miflo","4281","A Master's Guide to the Grunfeld vs 1.d4 & 1.Nf3","7","7. Exchange Sidelines","291","0","100"
"19018","miflo","4281","A Master's Guide to the Grunfeld vs 1.d4 & 1.Nf3","9","8. Exchange - Nf3 & Be3","405","0","100"
"19018","miflo","4281","A Master's Guide to the Grunfeld vs 1.d4 & 1.Nf3","10","9. Exchange - Nf3 & Rb1","965","0","100"
"19018","miflo","4281","A Master's Guide to the Grunfeld vs 1.d4 & 1.Nf3","11","10. Exchange - Bc4 & Ne2","357","0","100"
"19018","miflo","4281","A Master's Guide to the Grunfeld vs 1.d4 & 1.Nf3","12","11. 1.Nf3 Anti-Grunfeld","375","0","100"
"19018","miflo","4281","A Master's Guide to the Grunfeld vs 1.d4 & 1.Nf3","13","12. d4 Deviations","171","0","100"
"19018","miflo","4281","A Master's Guide to the Grunfeld vs 1.d4 & 1.Nf3","15","2. The 3.g3 Fianchetto Grunfeld","1537","0","100"
"19018","miflo","4281","A Master's Guide to the Grunfeld vs 1.d4 & 1.Nf3","16","1. The 3.f3 Anti-Grunfeld","500","0","100"
"19018","miflo","5193","100 Endgames You Must Know","0","2. Basic Endings","1311","3","99.77"
"19018","miflo","5193","100 Endgames You Must Know","1","4. Knight vs. Pawn","559","7","98.75"
"19018","miflo","5193","100 Endgames You Must Know","2","5. Queen vs. Pawn","1686","28","98.34"
"19018","miflo","5193","100 Endgames You Must Know","3","6. Rook vs. Pawn","1592","23","98.56"
"19018","miflo","5193","100 Endgames You Must Know","4","7. Rook vs. 2 Pawns","509","10","98.04"
"19018","miflo","5193","100 Endgames You Must Know","5","8. Same coloured bishops: B+P vs. B","759","11","98.55"
"19018","miflo","5193","100 Endgames You Must Know","6","9.  Bishop vs. Knight: One Pawn","844","27","96.8"
"19018","miflo","5193","100 Endgames You Must Know","7","10.  Opp. Coloured: B+2 Pawns vs. B","2694","41","98.48"
"19018","miflo","5193","100 Endgames You Must Know","8","3. Basic Test","1012","0","100"
"19018","miflo","5193","100 Endgames You Must Know","9","11. Rook + Pawn vs. Rook","3002","28","99.07"
"19018","miflo","5193","100 Endgames You Must Know","10","12. Rook + two Pawns vs. Rook","1979","15","99.24"
"19018","miflo","5193","100 Endgames You Must Know","11","13. Pawn endings","3752","5","99.87"
"19018","miflo","5193","100 Endgames You Must Know","12","14. Other material relations","3482","1","99.97"
"19018","miflo","5193","100 Endgames You Must Know","13","15. Final Test","376","0","100"
"19018","miflo","5193","100 Endgames You Must Know","15","1. Introduction","219","0","100"
"19018","miflo","7543","My First Chess Opening Repertoire for White","0","1. The Giuoco Pianissimo","12","0","100"
"19018","miflo","7543","My First Chess Opening Repertoire for White","3","4. The Grand Prix Attack Against The Sicilian","1968","0","100"
"19018","miflo","7543","My First Chess Opening Repertoire for White","4","6. The King’s Indian Attack against the French","1216","0","100"
"19018","miflo","7543","My First Chess Opening Repertoire for White","5","7. St. George Attack against the Pirc and the Modern","311","2","99.36"
"19018","miflo","7543","My First Chess Opening Repertoire for White","6","8. Spotlight on the Night Attack - Caro-Kann","78","0","100"
"19018","miflo","7543","My First Chess Opening Repertoire for White","8","5. The Grand Prix Attack Against The Sicilian 2","2259","0","100"
"19018","miflo","8018","The Fighting Sicilian: A complete repertoire vs 1.e4","1","1. Miscellaneous Variations","1062","0","100"
"19018","miflo","8018","The Fighting Sicilian: A complete repertoire vs 1.e4","2","2. Sicilian Gambits","852","0","100"
"19018","miflo","8018","The Fighting Sicilian: A complete repertoire vs 1.e4","3","3. The Closed Sicilian 2.Nc3 a6!?","933","0","100"
"19018","miflo","8018","The Fighting Sicilian: A complete repertoire vs 1.e4","4","4. The Alapin Variation","3348","0","100"
"19018","miflo","8018","The Fighting Sicilian: A complete repertoire vs 1.e4","5","5. The Sveshnikov - 6th move alternative","654","0","100"
"19018","miflo","8018","The Fighting Sicilian: A complete repertoire vs 1.e4","6","6. The Sveshnikov - 7th move alternative","999","0","100"
"19018","miflo","8018","The Fighting Sicilian: A complete repertoire vs 1.e4","7","7. The Sveshnikov - Positional 9.Nd5","2979","0","100"
"19018","miflo","8018","The Fighting Sicilian: A complete repertoire vs 1.e4","8","8. The Sveshnikov - Attacking 9.Bf6","3876","0","100"
"19018","miflo","8018","The Fighting Sicilian: A complete repertoire vs 1.e4","9","9. The Rossolimo Variation - 3...Qc7!?","1143","0","100"
"19018","miflo","9014","My First Chess Opening Repertoire for Black","1","2. The Icelandic Gambit","1381","0","100"
"19018","miflo","9014","My First Chess Opening Repertoire for Black","7","3. Portuguese Variation: Quiet Line (4.Be2)","984","0","100"
"19018","miflo","9014","My First Chess Opening Repertoire for Black","11","7. Odds and Ends","964","0","100"
"19018","miflo","9014","My First Chess Opening Repertoire for Black","12","4. Portuguese Variation: Classical System (4.Nf3)","2094","0","100"
"19018","miflo","9014","My First Chess Opening Repertoire for Black","13","5. Portuguese Variation: Critical Line (4.f3)","2228","0","100"
"19018","miflo","9014","My First Chess Opening Repertoire for Black","14","6. The Modern Variation","772","0","100"
"19018","miflo","9014","My First Chess Opening Repertoire for Black","16","9. The Stonewall: an unbreachable fortress","1798","0","100"
"19018","miflo","9014","My First Chess Opening Repertoire for Black","17","10. The English and the Réti","682","0","100"
"19018","miflo","9014","My First Chess Opening Repertoire for Black","18","11. The irregular openings","1560","0","100"
"19018","miflo","33597","Endgame Bootcamp with John Bartholomew","0","3. Philidor's Position","15","0","100"
"19018","miflo","37366","Lifetime Repertoires: Caro-Kann","21","Quickstarter Guide","66","0","100"
"19018","miflo","37837","Short & Sweet: Chebanenko Slav","1","1. Short & Sweet: Chebanenko Slav","39","0","100"
"19018","miflo","55884","Champions Chess Tour 2021","13","Skilling Open 2020","6","0","100"
"19165","anonymous","8209","1.e4: A Comprehensive White Repertoire","3","4. 1...e5: Theory","529","34","93.57"
"19165","anonymous","16078","Small Steps To Giant Improvement","1","2. Protecting Your Children","53","5","90.57"
"19165","anonymous","18646","Two Knights Defense","0","1. Intro and 6.d3 line","855","47","94.5"
"19165","anonymous","18646","Two Knights Defense","7","6. 4. d3 h6","103","4","96.12"
"19165","anonymous","19145","The Fundamentals 1: Build Up Your Chess","1","2. Mating Motifs 1","837","89","89.37"
"19165","anonymous","19145","The Fundamentals 1: Build Up Your Chess","2","3. Mating Motifs 2","9","1","88.89"
"19165","anonymous","25866","Unleash the Bull: 1...e5 - a full repertoire for Black","0","13. The exchange Spanish","1226","64","94.78"
"19165","anonymous","25866","Unleash the Bull: 1...e5 - a full repertoire for Black","19","1. Quickstarter Guide","7204","332","95.39"
"19165","anonymous","27530","Short & Sweet: Logozar's 1.e4 repertoire","0","1. 1.e4 introduction","7","0","100"
"19165","anonymous","27530","Short & Sweet: Logozar's 1.e4 repertoire","1","2. 1.e4 e5","71","3","95.77"
"19165","anonymous","27530","Short & Sweet: Logozar's 1.e4 repertoire","2","3. Caro-Kann","444","23","94.82"
"19165","anonymous","27530","Short & Sweet: Logozar's 1.e4 repertoire","3","4. French","261","17","93.49"
"19165","anonymous","27530","Short & Sweet: Logozar's 1.e4 repertoire","5","6. Sidelines","5","0","100"
"19165","anonymous","28518","Short & Sweet: The Vienna Game","0","1. Main Level","48","0","100"
"19165","anonymous","29117","Beat Bad & Pesky Openings","13","2. 1.e4 openings","610","53","91.31"
"19165","anonymous","29795","Too Hot To Handle: The King's Indian Defense","1","2. Classical Variation - 11.Bg5","732","50","93.17"
"19165","anonymous","29795","Too Hot To Handle: The King's Indian Defense","5","6. Classical Variation - Petrosian System 7.d5","226","14","93.81"
"19165","anonymous","29795","Too Hot To Handle: The King's Indian Defense","7","8. Classical Variation - Exchange System 7.dxe5","298","6","97.99"
"19165","anonymous","29795","Too Hot To Handle: The King's Indian Defense","13","14. Four Pawns Attack","96","4","95.83"
"19165","anonymous","29795","Too Hot To Handle: The King's Indian Defense","17","18. 4.Nf3 O-O - White's 5th move alternatives","970","52","94.64"
"19165","anonymous","29795","Too Hot To Handle: The King's Indian Defense","18","19. 2.Nf3 g6 - White's minor lines","648","32","95.06"
"19165","anonymous","29795","Too Hot To Handle: The King's Indian Defense","19","20. 2nd move alternatives","162","2","98.77"
"19165","anonymous","29795","Too Hot To Handle: The King's Indian Defense","28","NEW - 6th move alternatives","900","62","93.11"
"19165","anonymous","30136","Short & Sweet: The Magnus Sicilian","0","1. S&S: The Magnus Sicilian","130","6","95.38"
"19165","anonymous","31739","Short & Sweet - The King's Indian","0","1. Main Level","136","8","94.12"
"19165","anonymous","35117","The Accelerated Rossolimo","3","4. 2...e6, Black plays with the knight on c6","127","11","91.34"
"19165","anonymous","35117","The Accelerated Rossolimo","4","5. 2...Nc6 - all the kinds of setups","39","3","92.31"
"19165","anonymous","35117","The Accelerated Rossolimo","5","6. 2.f4 d5! - Black's best reply","311","12","96.14"
"19165","anonymous","35674","Short & Sweet: Four Knights Sicilian","0","1. Main Level","953","60","93.7"
"19165","anonymous","37609","Lifetime Repertoires: Chebanenko Slav","13","1. Introduction","58","2","96.55"
"19165","anonymous","37609","Lifetime Repertoires: Chebanenko Slav","25","2. Quickstarter Guide","1024","58","94.34"
"19165","anonymous","37740","Tactical Resources: Creative Attack & Defense","3","1. Warm Up","11","3","72.73"
"19165","anonymous","38346","Forwarding and Reversing the Tactics of Mikhail Tal Part 1: 1949-1970","1","2. Sets 001-018 Elementary","129","14","89.15"
"19165","anonymous","38349","Lifetime Repertoires: Wesley So's 1. e4 (Part 1)","67","4. Two Knights Defence – Main Line 8. Bd3","1051","88","91.63"
"19165","anonymous","42579","Sac, Sac, Mate! ","0","1. Stuck In The Middle With You","3","0","100"
"19165","anonymous","42898","Timeless Technique: Strategic Endgames","2","3. Weaknesses","50","4","92"
"19165","anonymous","45749","Lifetime Repertoires: Taimanov Sicilian","2","1. 2nd Move Options #1","80","0","100"
"19165","anonymous","45749","Lifetime Repertoires: Taimanov Sicilian","7","7. The Alapin (Nf6)","434","6","98.62"
"19165","anonymous","45749","Lifetime Repertoires: Taimanov Sicilian","16","15. 7th Move Options (7. a3)","634","34","94.64"
"19165","anonymous","45749","Lifetime Repertoires: Taimanov Sicilian","27","26. Scheveningen (Be2 Mainlines)","226","8","96.46"
"19165","anonymous","45749","Lifetime Repertoires: Taimanov Sicilian","30","Quickstarter","4582","220","95.2"
"19165","anonymous","45845","The High Pressure Alapin Sicilian","12","Quickstarter Guide","3448","224","93.5"
"19165","anonymous","47615","How Good Is Your Chess?","0","1. Steaming Down the Open File","816","62","92.4"
"19165","anonymous","55720","Chessable Challenge","1"," Advanced Checkmates","44","6","86.36"
"19165","anonymous","55720","Chessable Challenge","2","Opening Disasters and Traps","382","43","88.74"
"19165","anonymous","55944","The Thrilling Jaenisch Gambit","7","Quickstarter Guide","875","47","94.63"
"19215","winerum","16896","Mastering Pawn Endgames: Volume 1","11","1. Square Of The Pawn","12","0","100"
"19215","winerum","21646","1001 Chess Exercises For Club Players","1","2. Elimination Of The Defence","50","2","96"
"19240","quixote404","13565","V for von Hennig-Schara: Black's Best Gambit against 1.d4","0","Introduction","30","0","100"
"19240","quixote404","26995","Take Down the French Advance","2","2. Various 4th Moves","1162","55","95.27"
"19240","quixote404","30038","Winning Chess Strategies","3","3. Making the Most of a Material Advantage","2660","327","87.71"
"19240","quixote404","32316","Smash the Caro-Kann","1","2. 4...Nc6","6056","202","96.66"
"19240","quixote404","41090","Calm & Collected: 1.d4","11","2. Quickstarter","10475","399","96.19"
"19240","quixote404","42258","The Complete Open Sicilian for White - Vol. 2 ","6","1. Introduction ","40","0","100"
"19240","quixote404","42258","The Complete Open Sicilian for White - Vol. 2 ","7","3. 2...d6 Sidelines ","4510","118","97.38"
"19240","quixote404","42258","The Complete Open Sicilian for White - Vol. 2 ","13","2. Quickstarter Guide","16114","399","97.52"
"19240","quixote404","45845","The High Pressure Alapin Sicilian","12","Quickstarter Guide","4797","157","96.73"
"19240","quixote404","45945","The Furious Panov-Botvinnik","11","1. Quickstarter Guide","1904","86","95.48"
"19240","quixote404","45966","Crush the Pirc, Modern & Philidor!","1","2. Pirc with 5...O-O","1023","49","95.21"
"19240","quixote404","47107","Erwin's Opening Lab: The Cozio Defense","11","Fast Track","1621","81","95"
"19240","quixote404","47232","The Dirty Harry Sicilian","2","2. 30 minute-Repertoire","330","14","95.76"
"19240","quixote404","47519","Lifetime Repertoires: Sam Shankland's 1. d4 - Part 1: Sidelines","21","2. Quickstarter Guide","1410","66","95.32"
"19240","quixote404","47859","The Patient Closed Sicilian","18","Quickstarter guide","3070","169","94.5"
"19240","quixote404","48417","Beat the Caro-Kann: Two-Knights Variation","5","2. 3rd move sidelines","4457","175","96.07"
"19240","quixote404","48889","The Smart Ruy Lopez: Exchange Variation","15","Quickstarter Guide","4326","268","93.8"
"19240","quixote404","49056","The Complete Chess Workout 1","1","1. Warming Up","685","89","87.01"
"19240","quixote404","49094","The Initiative in Chess - a How to Guide","3","1. Introduction","697","65","90.67"
"19240","quixote404","49094","The Initiative in Chess - a How to Guide","4","2. Dynamics and Initiative in the Middlegame","130","11","91.54"
"19240","quixote404","49201","Butcher The Sicilian","1","2. Quickstarter Guide","14097","391","97.23"
"19240","quixote404","49250","The Fearsome Budapest Gambit","10","1. Intro & Quickstarter Guide","735","49","93.33"
"19240","quixote404","49442","The Fierce Nimzo-Indian","14","Quickstarter Guide","1458","56","96.16"
"19240","quixote404","49800","Beat the Alekhine: Four Pawns Attack","0","2. Quickstarter","566","27","95.23"
